Customer_Key,Customer_Name,Customer_ID,Location,Segment
1,Household 1,C001,Gateshead,Residential
2,Business 2,C002,London,Commercial
3,Household 3,C003,Leeds,Residential
4,Household 4,C004,Sunderland,Residential
5,Household 5,C005,Gateshead,Residential
6,Household 6,C006,Newcastle,Residential
7,Business 7,C007,Gateshead,Commercial
8,Household 8,C008,London,Residential
9,Household 9,C009,Gateshead,Residential
10,Household 10,C010,Leeds,Residential
11,Household 11,C011,Middlesbrough,Residential
12,Household 12,C012,London,Residential
13,Household 13,C013,Newcastle,Residential
14,Household 14,C014,Newcastle,Residential
15,Household 15,C015,Middlesbrough,Residential
16,Household 16,C016,Gateshead,Residential
17,Business 17,C017,Middlesbrough,Commercial
18,Household 18,C018,Durham,Residential
19,Household 19,C019,London,Residential
20,Household 20,C020,London,Residential
21,Household 21,C021,Leeds,Residential
22,Household 22,C022,London,Residential
23,Household 23,C023,Gateshead,Residential
24,Household 24,C024,Middlesbrough,Residential
25,Household 25,C025,Gateshead,Residential
26,Household 26,C026,Newcastle,Residential
27,Household 27,C027,London,Residential
28,Household 28,C028,London,Residential
29,Household 29,C029,Durham,Residential
30,Household 30,C030,Newcastle,Residential
31,Household 31,C031,Newcastle,Residential
32,Household 32,C032,Leeds,Residential
33,Household 33,C033,Leeds,Residential
34,Business 34,C034,London,Commercial
35,Household 35,C035,Durham,Residential
36,Household 36,C036,Newcastle,Residential
37,Household 37,C037,Newcastle,Residential
38,Household 38,C038,Gateshead,Residential
39,Household 39,C039,Gateshead,Residential
40,Household 40,C040,Leeds,Residential
41,Household 41,C041,Durham,Residential
42,Household 42,C042,Gateshead,Residential
43,Household 43,C043,Gateshead,Residential
44,Household 44,C044,Leeds,Residential
45,Household 45,C045,Sunderland,Residential
46,Business 46,C046,Gateshead,Commercial
47,Household 47,C047,Durham,Residential
48,Household 48,C048,Gateshead,Residential
49,Household 49,C049,Durham,Residential
50,Household 50,C050,Newcastle,Residential
