Read_ID,Date_Key,Utility_Key,Vendor_Key,Customer_Key,Consumption_kWh,Cost,Revenue,Profit
1,230,3,3,42,28.12,2.81,4.22,1.41
2,8033,1,1,3,26.7,2.67,4.0,1.33
3,2771,3,1,20,29.75,2.98,4.46,1.48
4,4315,2,2,5,9.09,0.91,1.36,0.45
5,5523,1,1,24,31.06,3.11,4.66,1.55
6,1376,2,1,25,27.27,2.73,4.09,1.36
7,7357,3,3,4,47.11,4.71,7.07,2.36
8,4447,3,1,28,5.67,0.57,0.85,0.28
9,5156,2,2,5,19.16,1.92,2.87,0.95
10,7323,1,1,50,29.8,2.98,4.47,1.49
11,5802,2,2,11,39.06,3.91,5.86,1.95
12,7758,2,3,41,8.18,0.82,1.23,0.41
13,3652,2,1,49,41.27,4.13,6.19,2.06
14,3382,1,2,39,12.12,1.21,1.82,0.61
15,6612,1,3,49,36.04,3.6,5.41,1.81
16,7176,2,3,16,35.93,3.59,5.39,1.8
17,6215,3,3,21,13.61,1.36,2.04,0.68
18,2956,2,2,36,27.05,2.7,4.06,1.36
19,7570,1,2,6,44.97,4.5,6.75,2.25
20,3752,1,2,34,38.93,3.89,5.84,1.95
21,3265,2,3,35,20.45,2.04,3.07,1.03
22,6098,3,3,45,19.58,1.96,2.94,0.98
23,950,2,1,39,11.5,1.15,1.72,0.57
24,8435,3,3,10,21.56,2.16,3.23,1.07
25,453,1,1,13,21.67,2.17,3.25,1.08
26,5966,2,3,36,37.36,3.74,5.6,1.86
27,7771,2,1,46,49.64,4.96,7.45,2.49
28,4381,2,3,49,28.19,2.82,4.23,1.41
29,4640,2,1,3,26.15,2.62,3.92,1.3
30,2011,2,3,24,49.8,4.98,7.47,2.49
31,6551,2,1,27,27.86,2.79,4.18,1.39
32,6256,1,3,18,34.51,3.45,5.18,1.73
33,1092,2,3,24,30.63,3.06,4.59,1.53
34,8302,3,3,9,9.24,0.92,1.39,0.47
35,3935,3,3,39,18.95,1.9,2.84,0.94
36,4543,3,1,46,10.68,1.07,1.6,0.53
37,4074,3,3,32,47.47,4.75,7.12,2.37
38,4941,3,2,10,28.42,2.84,4.26,1.42
39,5757,2,3,9,7.27,0.73,1.09,0.36
40,2812,1,1,34,19.81,1.98,2.97,0.99
41,8110,3,2,14,14.11,1.41,2.12,0.71
42,3090,2,2,14,40.86,4.09,6.13,2.04
43,950,3,2,1,14.08,1.41,2.11,0.7
44,8274,3,1,49,12.44,1.24,1.87,0.63
45,4984,3,1,5,34.25,3.42,5.14,1.72
46,2920,1,1,23,30.75,3.08,4.61,1.53
47,2949,3,3,41,19.41,1.94,2.91,0.97
48,3537,3,1,3,32.74,3.27,4.91,1.64
49,2374,2,1,8,7.5,0.75,1.12,0.37
50,2762,2,1,29,19.03,1.9,2.85,0.95
51,7352,3,1,46,43.3,4.33,6.49,2.16
52,5924,1,1,42,33.16,3.32,4.97,1.65
53,7573,2,2,33,16.18,1.62,2.43,0.81
54,2810,2,1,26,21.91,2.19,3.29,1.1
55,8228,2,2,24,21.4,2.14,3.21,1.07
56,1200,2,3,28,20.16,2.02,3.02,1.0
57,1407,1,3,44,22.72,2.27,3.41,1.14
58,5730,1,3,13,17.23,1.72,2.58,0.86
59,5821,1,2,30,24.64,2.46,3.7,1.24
60,4590,2,2,9,46.55,4.66,6.98,2.32
61,4925,1,3,9,15.68,1.57,2.35,0.78
62,8657,1,2,49,37.65,3.76,5.65,1.89
63,8493,1,1,34,29.93,2.99,4.49,1.5
64,8296,2,1,15,8.56,0.86,1.28,0.42
65,7272,1,3,35,22.45,2.24,3.37,1.13
66,3357,2,2,37,8.4,0.84,1.26,0.42
67,7099,1,3,13,7.43,0.74,1.11,0.37
68,7282,3,1,25,29.58,2.96,4.44,1.48
69,5253,3,3,14,15.43,1.54,2.31,0.77
70,8442,3,2,11,35.95,3.6,5.39,1.79
71,8344,1,3,3,7.74,0.77,1.16,0.39
72,7701,3,3,44,6.24,0.62,0.94,0.32
73,3932,3,1,44,21.53,2.15,3.23,1.08
74,6567,3,2,44,8.09,0.81,1.21,0.4
75,7538,3,3,36,20.64,2.06,3.1,1.04
76,8101,2,2,3,41.81,4.18,6.27,2.09
77,7861,1,1,22,28.36,2.84,4.25,1.41
78,8737,3,3,40,28.31,2.83,4.25,1.42
79,7422,2,2,16,22.81,2.28,3.42,1.14
80,7435,2,3,21,45.98,4.6,6.9,2.3
81,7130,1,3,19,30.46,3.05,4.57,1.52
82,8653,1,1,17,20.55,2.06,3.08,1.02
83,8447,1,3,6,29.61,2.96,4.44,1.48
84,5554,2,1,39,24.16,2.42,3.62,1.2
85,4416,2,3,1,15.77,1.58,2.37,0.79
86,5249,1,2,48,46.12,4.61,6.92,2.31
87,3061,1,1,40,47.13,4.71,7.07,2.36
88,4634,3,3,29,28.55,2.86,4.28,1.42
89,4394,3,2,11,11.95,1.2,1.79,0.59
