Date_Key,Date,Year,Month,Quarter,Day,Hour
1,2025-01-01,2025,1,1,1,0
2,2025-01-01,2025,1,1,1,1
3,2025-01-01,2025,1,1,1,2
4,2025-01-01,2025,1,1,1,3
5,2025-01-01,2025,1,1,1,4
6,2025-01-01,2025,1,1,1,5
7,2025-01-01,2025,1,1,1,6
8,2025-01-01,2025,1,1,1,7
9,2025-01-01,2025,1,1,1,8
10,2025-01-01,2025,1,1,1,9
11,2025-01-01,2025,1,1,1,10
12,2025-01-01,2025,1,1,1,11
13,2025-01-01,2025,1,1,1,12
14,2025-01-01,2025,1,1,1,13
15,2025-01-01,2025,1,1,1,14
16,2025-01-01,2025,1,1,1,15
17,2025-01-01,2025,1,1,1,16
18,2025-01-01,2025,1,1,1,17
19,2025-01-01,2025,1,1,1,18
20,2025-01-01,2025,1,1,1,19
21,2025-01-01,2025,1,1,1,20
22,2025-01-01,2025,1,1,1,21
23,2025-01-01,2025,1,1,1,22
24,2025-01-01,2025,1,1,1,23
25,2025-01-02,2025,1,1,2,0
26,2025-01-02,2025,1,1,2,1
27,2025-01-02,2025,1,1,2,2
28,2025-01-02,2025,1,1,2,3
29,2025-01-02,2025,1,1,2,4
30,2025-01-02,2025,1,1,2,5
31,2025-01-02,2025,1,1,2,6
32,2025-01-02,2025,1,1,2,7
33,2025-01-02,2025,1,1,2,8
34,2025-01-02,2025,1,1,2,9
35,2025-01-02,2025,1,1,2,10
36,2025-01-02,2025,1,1,2,11
37,2025-01-02,2025,1,1,2,12
38,2025-01-02,2025,1,1,2,13
39,2025-01-02,2025,1,1,2,14
40,2025-01-02,2025,1,1,2,15
41,2025-01-02,2025,1,1,2,16
42,2025-01-02,2025,1,1,2,17
43,2025-01-02,2025,1,1,2,18
44,2025-01-02,2025,1,1,2,19
45,2025-01-02,2025,1,1,2,20
46,2025-01-02,2025,1,1,2,21
47,2025-01-02,2025,1,1,2,22
48,2025-01-02,2025,1,1,2,23
49,2025-01-03,2025,1,1,3,0
50,2025-01-03,2025,1,1,3,1
51,2025-01-03,2025,1,1,3,2
52,2025-01-03,2025,1,1,3,3
53,2025-01-03,2025,1,1,3,4
54,2025-01-03,2025,1,1,3,5
55,2025-01-03,2025,1,1,3,6
56,2025-01-03,2025,1,1,3,7
57,2025-01-03,2025,1,1,3,8
58,2025-01-03,2025,1,1,3,9
59,2025-01-03,2025,1,1,3,10
60,2025-01-03,2025,1,1,3,11
61,2025-01-03,2025,1,1,3,12
62,2025-01-03,2025,1,1,3,13
63,2025-01-03,2025,1,1,3,14
64,2025-01-03,2025,1,1,3,15
65,2025-01-03,2025,1,1,3,16
66,2025-01-03,2025,1,1,3,17
67,2025-01-03,2025,1,1,3,18
68,2025-01-03,2025,1,1,3,19
69,2025-01-03,2025,1,1,3,20
70,2025-01-03,2025,1,1,3,21
71,2025-01-03,2025,1,1,3,22
72,2025-01-03,2025,1,1,3,23
73,2025-01-04,2025,1,1,4,0
74,2025-01-04,2025,1,1,4,1
75,2025-01-04,2025,1,1,4,2
76,2025-01-04,2025,1,1,4,3
77,2025-01-04,2025,1,1,4,4
78,2025-01-04,2025,1,1,4,5
79,2025-01-04,2025,1,1,4,6
80,2025-01-04,2025,1,1,4,7
81,2025-01-04,2025,1,1,4,8
82,2025-01-04,2025,1,1,4,9
83,2025-01-04,2025,1,1,4,10
84,2025-01-04,2025,1,1,4,11
85,2025-01-04,2025,1,1,4,12
86,2025-01-04,2025,1,1,4,13
87,2025-01-04,2025,1,1,4,14
88,2025-01-04,2025,1,1,4,15
89,2025-01-04,2025,1,1,4,16
90,2025-01-04,2025,1,1,4,17
91,2025-01-04,2025,1,1,4,18
92,2025-01-04,2025,1,1,4,19
93,2025-01-04,2025,1,1,4,20
94,2025-01-04,2025,1,1,4,21
95,2025-01-04,2025,1,1,4,22
96,2025-01-04,2025,1,1,4,23
97,2025-01-05,2025,1,1,5,0
98,2025-01-05,2025,1,1,5,1
99,2025-01-05,2025,1,1,5,2
100,2025-01-05,2025,1,1,5,3
101,2025-01-05,2025,1,1,5,4
102,2025-01-05,2025,1,1,5,5
103,2025-01-05,2025,1,1,5,6
104,2025-01-05,2025,1,1,5,7
105,2025-01-05,2025,1,1,5,8
106,2025-01-05,2025,1,1,5,9
107,2025-01-05,2025,1,1,5,10
108,2025-01-05,2025,1,1,5,11
109,2025-01-05,2025,1,1,5,12
110,2025-01-05,2025,1,1,5,13
111,2025-01-05,2025,1,1,5,14
112,2025-01-05,2025,1,1,5,15
113,2025-01-05,2025,1,1,5,16
114,2025-01-05,2025,1,1,5,17
115,2025-01-05,2025,1,1,5,18
116,2025-01-05,2025,1,1,5,19
117,2025-01-05,2025,1,1,5,20
118,2025-01-05,2025,1,1,5,21
119,2025-01-05,2025,1,1,5,22
120,2025-01-05,2025,1,1,5,23
121,2025-01-06,2025,1,1,6,0
122,2025-01-06,2025,1,1,6,1
123,2025-01-06,2025,1,1,6,2
124,2025-01-06,2025,1,1,6,3
125,2025-01-06,2025,1,1,6,4
126,2025-01-06,2025,1,1,6,5
127,2025-01-06,2025,1,1,6,6
128,2025-01-06,2025,1,1,6,7
129,2025-01-06,2025,1,1,6,8
130,2025-01-06,2025,1,1,6,9
131,2025-01-06,2025,1,1,6,10
132,2025-01-06,2025,1,1,6,11
133,2025-01-06,2025,1,1,6,12
134,2025-01-06,2025,1,1,6,13
135,2025-01-06,2025,1,1,6,14
136,2025-01-06,2025,1,1,6,15
137,2025-01-06,2025,1,1,6,16
138,2025-01-06,2025,1,1,6,17
139,2025-01-06,2025,1,1,6,18
140,2025-01-06,2025,1,1,6,19
141,2025-01-06,2025,1,1,6,20
142,2025-01-06,2025,1,1,6,21
143,2025-01-06,2025,1,1,6,22
144,2025-01-06,2025,1,1,6,23
145,2025-01-07,2025,1,1,7,0
146,2025-01-07,2025,1,1,7,1
147,2025-01-07,2025,1,1,7,2
148,2025-01-07,2025,1,1,7,3
149,2025-01-07,2025,1,1,7,4
150,2025-01-07,2025,1,1,7,5
151,2025-01-07,2025,1,1,7,6
152,2025-01-07,2025,1,1,7,7
153,2025-01-07,2025,1,1,7,8
154,2025-01-07,2025,1,1,7,9
155,2025-01-07,2025,1,1,7,10
156,2025-01-07,2025,1,1,7,11
157,2025-01-07,2025,1,1,7,12
158,2025-01-07,2025,1,1,7,13
159,2025-01-07,2025,1,1,7,14
160,2025-01-07,2025,1,1,7,15
161,2025-01-07,2025,1,1,7,16
162,2025-01-07,2025,1,1,7,17
163,2025-01-07,2025,1,1,7,18
164,2025-01-07,2025,1,1,7,19
165,2025-01-07,2025,1,1,7,20
166,2025-01-07,2025,1,1,7,21
167,2025-01-07,2025,1,1,7,22
168,2025-01-07,2025,1,1,7,23
169,2025-01-08,2025,1,1,8,0
170,2025-01-08,2025,1,1,8,1
171,2025-01-08,2025,1,1,8,2
172,2025-01-08,2025,1,1,8,3
173,2025-01-08,2025,1,1,8,4
174,2025-01-08,2025,1,1,8,5
175,2025-01-08,2025,1,1,8,6
176,2025-01-08,2025,1,1,8,7
177,2025-01-08,2025,1,1,8,8
178,2025-01-08,2025,1,1,8,9
179,2025-01-08,2025,1,1,8,10
180,2025-01-08,2025,1,1,8,11
181,2025-01-08,2025,1,1,8,12
182,2025-01-08,2025,1,1,8,13
183,2025-01-08,2025,1,1,8,14
184,2025-01-08,2025,1,1,8,15
185,2025-01-08,2025,1,1,8,16
186,2025-01-08,2025,1,1,8,17
187,2025-01-08,2025,1,1,8,18
188,2025-01-08,2025,1,1,8,19
189,2025-01-08,2025,1,1,8,20
190,2025-01-08,2025,1,1,8,21
191,2025-01-08,2025,1,1,8,22
192,2025-01-08,2025,1,1,8,23
193,2025-01-09,2025,1,1,9,0
194,2025-01-09,2025,1,1,9,1
195,2025-01-09,2025,1,1,9,2
196,2025-01-09,2025,1,1,9,3
197,2025-01-09,2025,1,1,9,4
198,2025-01-09,2025,1,1,9,5
199,2025-01-09,2025,1,1,9,6
200,2025-01-09,2025,1,1,9,7
201,2025-01-09,2025,1,1,9,8
202,2025-01-09,2025,1,1,9,9
203,2025-01-09,2025,1,1,9,10
204,2025-01-09,2025,1,1,9,11
