Customer_Key,Customer_Name,Customer_ID,Location,Segment
1,Household 1,C001,Middlesbrough,Residential
2,Household 2,C002,Middlesbrough,Residential
3,Household 3,C003,London,Residential
4,Household 4,C004,Durham,Residential
5,Business 5,C005,London,Commercial
6,Household 6,C006,Leeds,Residential
7,Household 7,C007,Gateshead,Residential
8,Household 8,C008,Sunderland,Residential
9,Business 9,C009,London,Commercial
10,Household 10,C010,Gateshead,Residential
11,Household 11,C011,Leeds,Residential
12,Household 12,C012,Sunderland,Residential
13,Household 13,C013,Gateshead,Residential
14,Household 14,C014,London,Residential
15,Household 15,C015,Sunderland,Residential
16,Household 16,C016,Middlesbrough,Residential
17,Household 17,C017,Middlesbrough,Residential
18,Household 18,C018,London,Residential
19,Household 19,C019,London,Residential
20,Household 20,C020,Durham,Residential
21,Household 21,C021,Gateshead,Residential
22,Household 22,C022,Middlesbrough,Residential
23,Business 23,C023,Durham,Commercial
24,Household 24,C024,Middlesbrough,Residential
25,Household 25,C025,Durham,Residential
26,Household 26,C026,Gateshead,Residential
27,Household 27,C027,Sunderland,Residential
28,Household 28,C028,Gateshead,Residential
29,Household 29,C029,Middlesbrough,Residential
30,Household 30,C030,Newcastle,Residential
31,Household 31,C031,Gateshead,Residential
32,Household 32,C032,Middlesbrough,Residential
33,Business 33,C033,Middlesbrough,Commercial
34,Household 34,C034,Middlesbrough,Residential
35,Household 35,C035,Middlesbrough,Residential
36,Household 36,C036,Newcastle,Residential
37,Household 37,C037,Newcastle,Residential
38,Household 38,C038,London,Residential
39,Business 39,C039,Leeds,Commercial
40,Household 40,C040,Leeds,Residential
41,Household 41,C041,Leeds,Residential
42,Business 42,C042,Middlesbrough,Commercial
43,Business 43,C043,Leeds,Commercial
44,Household 44,C044,Sunderland,Residential
45,Household 45,C045,Sunderland,Residential
46,Household 46,C046,London,Residential
47,Business 47,C047,Sunderland,Commercial
48,Household 48,C048,Gateshead,Residential
49,Household 49,C049,Durham,Residential
50,Business 50,C050,Sunderland,Commercial
