Read_ID,Date_Key,Utility_Key,Vendor_Key,Customer_Key,Consumption_kWh,Cost,Revenue,Profit
1,2147,2,1,10,6.08,0.61,0.91,0.3
2,1373,3,2,39,26.87,2.69,4.03,1.34
3,2762,2,2,12,19.14,1.91,2.87,0.96
4,4148,2,2,16,25.07,2.51,3.76,1.25
5,2244,1,2,39,16.81,1.68,2.52,0.84
6,3089,1,2,37,36.43,3.64,5.46,1.82
7,1843,3,1,45,40.39,4.04,6.06,2.02
8,3861,1,3,10,18.49,1.85,2.77,0.92
9,5791,2,1,19,9.86,0.99,1.48,0.49
10,4800,3,2,36,24.78,2.48,3.72,1.24
11,6828,3,2,38,38.17,3.82,5.73,1.91
12,1906,3,2,37,10.56,1.06,1.58,0.52
13,5787,3,1,2,14.24,1.42,2.14,0.72
14,1493,1,2,31,41.28,4.13,6.19,2.06
15,8046,2,1,7,19.86,1.99,2.98,0.99
16,5880,3,2,1,42.53,4.25,6.38,2.13
17,5742,3,1,21,45.35,4.54,6.8,2.26
18,2480,1,2,1,23.24,2.32,3.49,1.17
19,2710,2,3,48,41.64,4.16,6.25,2.09
20,7794,3,1,11,14.1,1.41,2.11,0.7
21,2867,1,2,31,40.77,4.08,6.12,2.04
22,5834,3,1,33,47.0,4.7,7.05,2.35
23,14,1,2,5,30.1,3.01,4.51,1.5
24,104,3,3,19,40.64,4.06,6.1,2.04
25,3923,1,3,14,27.25,2.72,4.09,1.37
26,6986,3,1,28,10.01,1.0,1.5,0.5
27,8704,3,3,22,7.64,0.76,1.15,0.39
28,735,2,1,48,18.34,1.83,2.75,0.92
29,2636,1,3,42,9.8,0.98,1.47,0.49
30,2129,2,1,32,42.65,4.26,6.4,2.14
31,491,1,1,49,39.22,3.92,5.88,1.96
32,1801,1,3,47,10.18,1.02,1.53,0.51
33,7678,1,3,49,37.87,3.79,5.68,1.89
34,6234,2,1,24,18.74,1.87,2.81,0.94
35,5017,2,1,12,13.39,1.34,2.01,0.67
36,3399,1,1,30,44.84,4.48,6.73,2.25
37,8128,3,1,7,28.05,2.8,4.21,1.41
38,6542,2,2,7,11.97,1.2,1.8,0.6
39,7286,2,2,15,16.66,1.67,2.5,0.83
40,1481,1,1,5,28.64,2.86,4.3,1.44
41,5780,3,3,4,16.71,1.67,2.51,0.84
42,142,1,1,26,33.43,3.34,5.01,1.67
43,1360,2,2,6,32.56,3.26,4.88,1.62
44,3573,2,2,14,49.29,4.93,7.39,2.46
45,3798,3,2,4,42.72,4.27,6.41,2.14
46,4305,3,3,16,20.64,2.06,3.1,1.04
47,4949,2,2,16,7.53,0.75,1.13,0.38
48,7637,1,3,19,44.12,4.41,6.62,2.21
49,2011,3,3,40,21.62,2.16,3.24,1.08
50,5324,3,3,44,11.72,1.17,1.76,0.59
51,5695,1,3,16,46.99,4.7,7.05,2.35
52,120,2,2,30,44.23,4.42,6.63,2.21
53,1927,2,2,38,45.57,4.56,6.84,2.28
54,2021,2,2,22,6.32,0.63,0.95,0.32
55,2689,2,3,30,5.54,0.55,0.83,0.28
56,5497,1,2,25,14.47,1.45,2.17,0.72
57,212,2,2,20,46.01,4.6,6.9,2.3
58,4435,1,3,17,27.11,2.71,4.07,1.36
59,3840,2,3,50,43.61,4.36,6.54,2.18
60,5346,1,1,32,10.13,1.01,1.52,0.51
61,893,3,3,13,6.63,0.66,0.99,0.33
62,3517,3,2,19,26.23,2.62,3.93,1.31
63,842,3,3,46,13.63,1.36,2.04,0.68
64,5573,1,3,44,41.32,4.13,6.2,2.07
65,400,1,2,19,11.7,1.17,1.76,0.59
66,1312,3,1,7,29.27,2.93,4.39,1.46
67,1757,1,1,1,6.26,0.63,0.94,0.31
68,4111,3,3,40,6.81,0.68,1.02,0.34
69,6000,1,2,31,22.12,2.21,3.32,1.11
70,880,2,2,35,11.93,1.19,1.79,0.6
71,4642,3,3,17,29.09,2.91,4.36,1.45
72,1920,2,2,22,17.64,1.76,2.65,0.89
73,1691,2,3,30,24.13,2.41,3.62,1.21
74,741,2,1,6,43.45,4.35,6.52,2.17
75,4254,3,2,13,32.79,3.28,4.92,1.64
76,6459,2,1,50,42.46,4.25,6.37,2.12
77,1431,3,1,17,48.29,4.83,7.24,2.41
78,3487,3,2,21,45.26,4.53,6.79,2.26
79,5827,2,3,27,17.52,1.75,2.63,0.88
80,5681,3,2,22,42.61,4.26,6.39,2.13
81,2067,2,2,4,18.16,1.82,2.72,0.9
82,3974,2,2,44,12.97,1.3,1.95,0.65
83,6945,1,1,38,19.22,1.92,2.88,0.96
84,2413,3,2,30,23.38,2.34,3.51,1.17
85,420,3,3,25,35.07,3.51,5.26,1.75
86,2473,1,2,49,44.46,4.45,6.67,2.22
87,1918,2,3,31,40.14,4.01,6.02,2.01
88,5998,1,3,1,15.54,1.55,2.33,0.78
89,5715,2,1,46,27.72,2.77,4.16,1.39
90,5945,1,3,40,17.93,1.79,2.69,0.9
91,6764,3,2,39,12.17,1.22,1.83,0.61
92,3755,2,1,38,30.63,3.06,4.59,1.53
93,3278,3,3,18,18.96,1.9,2.84,0.94
94,3773,1,1,34,24.31,2.43,3.65,1.22
95,1770,3,1,8,38.92,3.89,5.84,1.95
96,1301,2,1,39,15.92,1.59,2.39,0.8
97,5172,3,1,4,49.91,4.99,7.49,2.5
98,5429,3,2,4,37.6,3.76,5.64,1.88
99,5866,3,1,35,15.9,1.59,2.38,0.79
100,8380,2,1,18,10.64,1.06,1.6,0.54
101,1882,1,2,36,13.14,1.31,1.97,0.66
102,3673,2,1,45,40.41,4.04,6.06,2.02
103,5211,2,2,50,21.11,2.11,3.17,1.06
104,8383,1,1,1,47.2,4.72,7.08,2.36
105,8254,3,2,43,21.7,2.17,3.26,1.09
106,8639,1,3,5,9.08,0.91,1.36,0.45
107,1374,2,2,50,33.68,3.37,5.05,1.68
108,8633,2,2,9,22.9,2.29,3.43,1.14
109,5284,3,1,40,10.41,1.04,1.56,0.52
110,7988,2,3,18,45.96,4.6,6.89,2.29
111,6436,2,3,5,9.38,0.94,1.41,0.47
112,4517,2,2,44,28.39,2.84,4.26,1.42
113,4547,1,1,33,15.5,1.55,2.32,0.77
114,1428,2,2,20,34.35,3.44,5.15,1.71
